University_name,Region,State,Founded_year,Number_of_years,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students_percent,International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year,Latitude,Longitude,Website
University of Nottingham,East Midlands,England,1948,74,A city is built on wisdom,18,141,80.4,5.5,14140,14420,0.3,30,0.3,31360,"3,000-3,499",Public,Semesters,Suburban,9840,52.9388,-1.1981,www.nottingham.ac.uk
University of Exeter,South West England,England,1955,67,We follow the light,19,143,77.4,5.5,15500,15500,0.212,21.2,0.28,22740,"2,500-2,999",Public,Semesters,Suburban,8400,50.7371,-3.5351,www.exeter.ac.uk
Newcastle University,North East England,England,1963,59,I look ahead,20,146,79.7,5.5,12680,12680,0.27,27,0.787,24630,"3,000-3,499",Public,Semesters,Urban,8000,54.9792,-1.6147,www.newcastle.ac.uk
University of Sussex,South East England,England,1961,61,Be still and know,21,151,77.7,5.5,14450,14450,0.372,37.2,0.764,17407,"2,000-2,499",Public,NA,NA,12500,50.8677,-0.0875,www.sussex.ac.uk
University of Aberdeen,Scotland,Scotland,1495,527,The fear of the Lord is the beginning of wisdom,22,158,76.8,5.5,13000,13000,0.268,26.8,0.811,13107,"1,000-1,499",Public,Semesters,Urban,8000,57.1648,-2.1015,www.abdn.ac.uk
Durham University,North East England,England,1832,190,Her foundations are upon the holy hills,23,162,76.3,5.5,14900,18000,0.332,33.2,0.75,17724,"1,500-1,999",Public,Trimesters,Urban,8000,54.765,-1.5782,www.dur.ac.uk
University of York,Yorkshire and the Humber,England,1963,59,On the threshold of wisdom,24,169,76.4,5.5,17890,18240,0.23,23,0.81,17302,"1,500-1,999",Public,Trimesters,Suburban,11789,53.9461,-1.0518,www.york.ac.uk
University of Liverpool,North West England,England,1881,141,These days of peace foster learning,25,178,80.5,5.5,13850,16200,0.35,35,0.8,25910,"3,000-3,499",Public,Semesters,Urban,7000,53.4048,-2.9653,www.liverpool.ac.uk/study/international/
University of East Anglia UEA,East of England,England,1963,59,Do different,26,182,77.1,5.5,14200,14200,0.202,20.2,0.79,15760,"1,500-1,999",Public,Semesters,Suburban,9840,52.6221,1.2411,www.uea.ac.uk
University of Leicester,East Midlands,England,1957,65,So that they may have life,27,185,77.7,4.5,14000,13500,0.312,31.2,0.78,15029,"1,500-1,999",Public,Semesters,Suburban,7650,52.6211,-1.1246,www2.le.ac.uk
Cardiff University,Wales,Wales,1997,25,"Truth, Unity and Concord",28,189,79.8,5.5,14000,14000,0.283,28.3,0.775,26622,"3,000-3,499",Public,Semesters,Urban,10084,51.4866,-3.1789,www.cf.ac.uk
University of Bath,South West England,England,1966,56,Learn each field of study according to its kind,29,201,74.8,5.5,14300,15000,0.347,34.7,0.818,14655,"1,000-1,499",Public,Semesters,Suburban,11000,51.3782,-2.3264,www.bath.ac.uk
University of Dundee,Scotland,Scotland,1967,55,My soul magnifies the Lord,30,208,76,5.5,12950,14875,0.249,24.9,0.838,13016,"1,000-1,499",Public,Semesters,Urban,6500,56.4582,-2.9821,www.dundee.ac.uk
Queen's University Belfast,Northern Ireland,Northern Ireland,1849,173,"For so much, what shall we give back?",31,212,75.7,5.5,13280,13430,0.377,37.7,0.774,18487,"1,500-1,999",Public,Semesters,Urban,6000,54.5844,-5.934,www.qub.ac.uk
University of Reading,South East England,England,1892,130,NA,32,214,77.7,5.5,14350,14165,0.319,31.9,0.752,15433,"1,500-1,999",Public,Other,NA,8500,51.4414,-0.9418,www.reading.ac.uk
St George's University of London,London,England,1733,289,NA,33,246,72.9,5.5,18630,16500,0.21,21,0.719,3487,500-599,Public,Semesters,Urban,10229,51.427,-0.1739,www.sgul.ac.uk
University of St Andrews,Scotland,Scotland,1413,609,Ever to excel,34,248,75.8,6.5,17040,15440,0.404,40.4,0.879,9500,"1,000-1,499",Public,Semesters,Suburban,12000,56.3417,-2.7943,www.st-andrews.ac.uk
University of Surrey,South East England,England,1966,56,Wonderful things happen here,35,249,74.2,5.5,13300,13300,0.364,36.4,0.782,14455,"1,000-1,499",Public,Semesters,Suburban,10700,51.2431,-0.5895,www.surrey.ac.uk
Swansea University,Wales,Wales,1920,102,Technical skill is bereft without culture,36,287,73.4,4.5,13800,15050,0.224,22.4,0.815,17589,"1,000-1,499",Public,Trimesters,Suburban,7500,51.6092,-3.98,www.swan.ac.uk
Anglia Ruskin University,East of England,England,1858,164,Excellence through partnership,37,319,68.1,4,10500,10500,0.391,39.1,0.79,18887,900-999,Public,Semesters,Urban,9415,52.2033,0.1345,www.anglia.ac.uk
University of Essex,East of England,England,1964,58,"Thought the harder, heart the keener",38,326,71.7,5.5,12500,14450,0.302,30.2,0.803,13492,"1,000-1,499",Public,Semesters,Suburban,8320,51.8777,0.9472,essex.ac.uk
University of Stirling,Scotland,Scotland,1967,55,"By connecting, innovating and transforming, we believe our thinking can change the world",39,347,70.8,5.5,11275,11900,0.408,40.8,0.756,9749,"1,000-1,499",Public,Semesters,Suburban,7000,56.1461,-3.9178,www.stir.ac.uk
Bournemouth University,South West England,England,1992,30,To learn is to change,40,356,68.9,4.5,13000,12750,0.19,19,0.754,13788,900-999,Public,NA,Urban,8217,50.7435,-1.8983,www.bournemouth.ac.uk
Brunel University London,London,England,1966,56,"To bring benefit to society through excellence in education, research and knowledge transfer",41,378,73.5,4.5,13500,13500,0.386,38.6,0.734,12517,"1,000-1,499",Public,Trimesters,Suburban,7000,51.5321,-0.4727,www.brunel.ac.uk
"City, University of London",London,England,1966,56,To Serve Mankind,42,370,71.1,4.5,13000,14000,0.5,50,0.771,14989,"2,000-2,499",Public,NA,Urban,12000,51.528,-0.1025,www.city.ac.uk
University of Kent,South East England,England,1965,57,Whose service is perfect freedom,43,382,72.5,5.5,12890,12890,0.304,30.4,0.766,17282,"1,500-1,999",Public,Semesters,Suburban,8990,51.2967,1.063,www.kent.ac.uk/
Loughborough University,East Midlands,England,1966,56,"With Truth, Knowledge and Labour",44,383,72.8,5.5,16400,16400,0.27,27,0.858,15556,"1,500-1,999",Public,Semesters,Suburban,9398,52.765,-1.2321,www.lboro.ac.uk/
"Royal Holloway, University of London",South East England,England,1849,173,"To be, rather than to seem",45,388,73.8,5.5,13200,13900,0.36,36,0.806,10177,"1,000-1,499",Public,Semesters,Suburban,7500,51.4257,-0.5631,www.rhul.ac.uk
Aston University,West Midlands,England,1895,127,Forward,46,401,70.5,5.5,13500,13500,0.245,24.5,0.773,11517,800-899,Public,Trimesters,Urban,6000,52.4867,-1.8882,www.aston.ac.uk
